HOUR,DEPOSITS,WITHDRAWALS
2021-05-08T05:00:00Z,1812220.1453415914,-3276641.064493996
2021-05-08T04:00:00Z,23545560.668411616,-17014647.421335675
2021-05-08T03:00:00Z,3301039.9384513535,-3004351.4729720806
2021-05-08T02:00:00Z,5334198.6874595,-3894291.3104705433
2021-05-08T01:00:00Z,33757507.78599563,-10093708.413250523
2021-05-08T00:00:00Z,22829144.123778787,-4409657.082168911
2021-05-07T23:00:00Z,20151457.717782293,-11302240.289378896
2021-05-07T22:00:00Z,3379165.6337606795,-4821787.643084386
2021-05-07T21:00:00Z,7839058.948632613,-3856248.5548503445
2021-05-07T20:00:00Z,6337615.227893891,-3676402.2727161907
2021-05-07T19:00:00Z,12193893.213406432,-1979357.354670342
2021-05-07T18:00:00Z,4941530.0486212615,-11569666.697592635
2021-05-07T17:00:00Z,12466794.119344253,-6220549.716086462
2021-05-07T16:00:00Z,7474853.836469978,-7462274.110468193
2021-05-07T15:00:00Z,7231807.928509515,-2780548.616127072
2021-05-07T14:00:00Z,18441118.750995293,-14439442.088719891
2021-05-07T13:00:00Z,14772935.824180048,-4289280.916931234
2021-05-07T12:00:00Z,8039711.98272671,-5434126.129187929
2021-05-07T11:00:00Z,4230995.768169352,-250474.25376026452
2021-05-07T10:00:00Z,11928925.806623977,-2938681.9315919224
2021-05-07T09:00:00Z,16570759.323911097,-5415939.73536702
2021-05-07T08:00:00Z,11285696.833138406,-2807857.3655080884
2021-05-07T07:00:00Z,13743899.261364635,-1299904.2785978657
2021-05-07T06:00:00Z,7970019.0548310885,-1017985.1233796632
2021-05-07T05:00:00Z,13629518.879493427,-2071814.6346417754
2021-05-07T04:00:00Z,32970876.50693362,-7084530.079619529
2021-05-07T03:00:00Z,5303847.117710984,-8417722.40447239
2021-05-07T02:00:00Z,4670212.96502568,-3442127.09286022
